ACAT1	NA	1672	2134	36.5629
ACAT2	NA	1903	1909	46.5191
ACBD3	NA	576	3565	7.53983
ACBD4	NA	97	2756	1.64245
ACBD5	NA	491	4255	5.38494
ACBD6	NA	1434	1616	41.4101
ACBD7	NA	942	3370	13.0443
ACCS	NA	0	2256	0
ACCSL	NA	0	1820	0
ACD	NA	549	2066	12.4005
ACE	NA	116	5219	1.03722
ACE2	NA	94	3507	1.25081
ACER1	NA	0	1088	0
ACER2	NA	59	2852	0.965386
ACER3	NA	515	7502	3.20353
ACHE	NA	686	3086	10.3735
ACIN1	NA	6858	5143	62.2271
ACKR1	NA	0	2210	0
ACKR2	NA	9	2960	0.141889
ACKR3	NA	0	2100	0
ACKR4	NA	4	2592	0.0720151
ACLY	NA	5052	4369	53.961
ACMSD	NA	8	1357	0.275112
ACO1	NA	1478	3620	19.0531
ACO2	NA	2242	2741	38.1703
ACOT1	NA	339	1603	9.86881
ACOT11	NA	113	3391	1.55507
ACOT12	NA	0	1989	0
ACOT13	NA	740	4393	7.86084
ACOT2	NA	725	2289	14.7806
ACOT4	NA	0	1632	0
ACOT6	NA	1	1004	0.0464799
ACOT7	NA	2707	2389	52.8775
ACOT8	NA	510	1171	20.3241
ACOT9	NA	1417	1727	38.2892
ACOX1	NA	717	7919	4.2252
ACOX2	NA	255	2309	5.15365
ACOX3	NA	445	2874	7.22557
ACOXL	NA	10	2373	0.196653
ACP1	NA	2600	1882	64.4692
ACP2	NA	1538	2316	30.9896
ACP5	NA	60	1810	1.54693
ACP6	NA	552	1808	14.2475
ACPP	NA	8	3818	0.0977806
ACPT	NA	0	1347	0
ACR	NA	37	1370	1.26032
ACRBP	NA	3	1886	0.0742298
ACRC	NA	50	3178	0.734201
ACRV1	NA	3	1175	0.119147
ACSBG1	NA	8	2980	0.125277
ACSBG2	NA	12	2789	0.200785
ACSF2	NA	838	2424	16.1328
ACSF3	NA	610	4296	6.6262
ACSL1	NA	520	4743	5.11622
ACSL3	NA	1796	4361	19.2185
ACSL4	NA	105	5335	0.918446
ACSL5	NA	249	3744	3.10357
ACSL6	NA	1	6915	0.00674849
ACSM1	NA	14	2051	0.318538
ACSM2A	NA	2	3336	0.0279771
ACSM2B	NA	1	2441	0.0191175
ACSM3	NA	48	2291	0.977721
