A1BG	NA	374	1766	8.5792
A1BG-AS1	NA	296	2130	5.62961
A1CF	NA	494	9529	2.10013
A2M	NA	4	4653	0.0348251
A2M-AS1	NA	0	2187	0
A2ML1	NA	1	5363	0.00755367
A2MP1	NA	0	1201	0
A3GALT2	NA	0	1023	0
A4GALT	NA	113	2092	2.18818
A4GNT	NA	1	1771	0.0228743
AA06	NA	0	632	0
AAAS	NA	2046	1837	45.1193
AACS	NA	768	3321	9.36824
AACSP1	NA	0	2173	0
AADAC	NA	0	1606	0
AADACL2	NA	0	1500	0
AADACL2-AS1	NA	0	772	0
AADACL3	NA	0	4049	0
AADACL4	NA	0	1575	0
AADACP1	NA	1	1289	0.0314277
AADAT	NA	131	2579	2.05772
AAED1	NA	297	1225	9.82169
AAGAB	NA	4121	3406	49.0144
AAK1	NA	845	21265	1.60975
AAMDC	NA	299	504	24.0329
AAMP	NA	4760	1835	105.084
AANAT	NA	3	2149	0.0565524
AAR2	NA	1652	2765	24.2036
AARD	NA	0	1786	0
AARS	NA	3680	3344	44.5808
AARS2	NA	1606	4782	13.6051
AARSD1	NA	997	1364	29.6106
AASDH	NA	289	3906	2.99731
AASDHPPT	NA	1663	2861	23.5473
AASS	NA	30	5871	0.207002
AATBC	NA	7	4598	0.061673
AATF	NA	2880	2141	54.4931
AATK	NA	143	5358	1.08118
AATK-AS1	NA	0	1577	0
ABALON	NA	1432	1903	30.4839
ABAT	NA	219	5930	1.49608
ABCA1	NA	1286	10502	4.96061
ABCA10	NA	31	6331	0.198361
ABCA11P	NA	381	1895	8.14482
ABCA12	NA	6	9370	0.0259405
ABCA13	NA	2	17184	0.00471489
ABCA17P	NA	9	4188	0.0870566
ABCA2	NA	1024	8360	4.96203
ABCA3	NA	1092	6623	6.67934
ABCA4	NA	3	7325	0.0165913
ABCA5	NA	990	9380	4.27561
ABCA6	NA	14	5296	0.107089
ABCA7	NA	408	6818	2.4242
ABCA8	NA	1	6004	0.00674722
ABCA9	NA	22	6301	0.141442
ABCA9-AS1	NA	0	523	0
ABCB1	NA	0	4716	0
ABCB10	NA	453	3857	4.75789
ABCB11	NA	0	4775	0
ABCB4	NA	1	3988	0.0101581
ABCB5	NA	1	7728	0.00524202
ABCB6	NA	325	3018	4.36245
ABCB7	NA	630	2528	10.0955
ABCB8	NA	1074	4735	9.18862
ABCB9	NA	556	3909	5.76202
ABCC1	NA	2411	6563	14.882
ABCC10	NA	325	5464	2.40956
ABCC11	NA	6	4908	0.0495236
ABCC12	NA	1	5168	0.00783869
ABCC13	NA	0	2924	0
ABCC2	NA	10	5446	0.0743855
ABCC3	NA	1	5271	0.00768551
ABCC4	NA	957	6265	6.18809
ABCC5	NA	1445	7060	8.29142
ABCC5-AS1	NA	0	469	0
ABCC6	NA	234	5579	1.69913
ABCC6P1	NA	57	2724	0.847683
ABCC6P2	NA	106	706	6.08229
ABCC8	NA	19	4924	0.156315
ABCC9	NA	0	8462	0
ABCD1	NA	284	3664	3.13999
ABCD2	NA	1	5341	0.00758478
ABCD3	NA	474	3797	5.05712
ABCD4	NA	712	3157	9.13632
ABCE1	NA	4363	4194	42.1427
ABCF1	NA	3351	23274	5.83269
ABCF2	NA	5109	4967	41.6685
ABCF3	NA	852	2572	13.4194
ABCG1	NA	73	3605	0.82032
ABCG2	NA	3996	4760	34.0083
ABCG4	NA	46	3935	0.473564
ABCG5	NA	1	2740	0.0147848
ABCG8	NA	1	2665	0.0152009
ABHD1	NA	109	1446	3.05368
ABHD10	NA	479	2806	6.91534
ABHD11	NA	935	1652	22.9281
ABHD11-AS1	NA	3	473	0.256937
ABHD12	NA	1583	2411	26.598
ABHD12B	NA	0	1708	0
ABHD13	NA	407	5302	3.10971
ABHD14A	NA	147	1108	5.37457
ABHD14A-ACY1	NA	430	1879	9.27059
ABHD14B	NA	487	2437	8.09542
ABHD15	NA	310	3355	3.74313
ABHD16A	NA	2313	17304	5.41496
ABHD16B	NA	339	1776	7.73255
ABHD17A	NA	1217	1716	28.7302
ABHD17B	NA	586	3260	7.28192
ABHD17C	NA	20	2360	0.343308
ABHD2	NA	2535	9133	11.2442
ABHD3	NA	473	2504	7.65231
ABHD4	NA	1515	2509	24.4612
ABHD5	NA	252	5353	1.90708
ABHD6	NA	266	2393	4.50303
ABHD8	NA	1224	2090	23.7247
ABI1	NA	1120	3776	12.0158
ABI2	NA	1822	6927	10.6554
ABI3	NA	2	2109	0.0384166
ABI3BP	NA	2	4473	0.0181133
ABL1	NA	2174	6152	14.3156
ABL2	NA	1319	12649	4.2243
ABLIM1	NA	84	8303	0.409836
ABLIM2	NA	29	5080	0.23126
ABLIM3	NA	0	4778	0
ABO	NA	0	1579	0
ABR	NA	2988	6656	18.1858
ABRA	NA	1	2754	0.0147096
ABRACL	NA	944	845	45.2565
ABT1	NA	2294	2263	41.0653
ABTB1	NA	64	2022	1.28223
ABTB2	NA	228	4903	1.88382
ACAA1	NA	952	1987	19.4091
ACAA2	NA	2596	1934	54.3769
ACACA	NA	4104	11380	14.6094
ACACB	NA	136	9249	0.595676
ACAD10	NA	281	4107	2.77171
ACAD11	NA	1707	3556	19.4463
ACAD8	NA	503	2201	9.25793
ACAD9	NA	1043	2751	15.3589
ACADL	NA	0	2490	0
ACADM	NA	956	2733	14.1705
ACADS	NA	97	2087	1.88285
ACADSB	NA	317	5941	2.16155
ACADVL	NA	4159	2519	66.8847
ACAN	NA	17	8840	0.0779045
ACAP1	NA	30	2508	0.484573
ACAP2	NA	1533	7170	8.66141
ACAP3	NA	971	3759	10.4644
ACAT1	NA	1900	2134	36.0682
ACAT2	NA	3104	1909	65.8691
ACBD3	NA	1242	3565	14.1133
ACBD4	NA	52	2756	0.764346
ACBD5	NA	790	4255	7.52131
ACBD6	NA	1907	1616	47.8052
ACBD7	NA	359	3370	4.31549
ACCS	NA	0	2256	0
ACCSL	NA	0	1820	0
ACD	NA	937	2066	18.3728
ACE	NA	58	5219	0.450201
ACE2	NA	1	3507	0.0115513
ACER1	NA	2	1088	0.0744675
ACER2	NA	112	2852	1.59087
ACER3	NA	388	7502	2.09518
ACHE	NA	595	3086	7.81064
ACIN1	NA	5339	5143	42.0542
ACKR1	NA	0	2210	0
ACKR2	NA	3	2960	0.0410578
ACKR3	NA	1	2100	0.0192906
ACKR4	NA	8	2592	0.125032
ACLY	NA	6720	4369	62.3093
ACMSD	NA	8	1357	0.238823
ACO1	NA	1120	3620	12.5336
ACO2	NA	3491	2741	51.5949
ACOT1	NA	511	1603	12.9138
ACOT11	NA	95	3391	1.13491
ACOT12	NA	1	1989	0.0203672
ACOT13	NA	1459	4393	13.4543
ACOT2	NA	1066	2289	18.8659
ACOT4	NA	0	1632	0
ACOT6	NA	0	1004	0
ACOT7	NA	3112	2389	52.7703
ACOT8	NA	448	1171	15.4984
ACOT9	NA	1261	1727	29.5793
ACOX1	NA	1233	7919	6.30752
ACOX2	NA	308	2309	5.40372
ACOX3	NA	445	2874	6.27248
