ACAP3	NA	1146	3759	15.1716
ACAT1	NA	1340	2134	31.2486
ACAT2	NA	1785	1909	46.532
ACBD3	NA	978	3565	13.6521
ACBD4	NA	95	2756	1.71539
ACBD5	NA	514	4255	6.0115
ACBD6	NA	1352	1616	41.6347
ACBD7	NA	773	3370	11.4148
ACCS	NA	0	2256	0
ACCSL	NA	0	1820	0
ACD	NA	504	2066	12.14
ACE	NA	137	5219	1.30633
ACE2	NA	130	3507	1.84471
ACER1	NA	0	1088	0
ACER2	NA	106	2852	1.84959
ACER3	NA	497	7502	3.29685
ACHE	NA	650	3086	10.4818
ACIN1	NA	5149	5143	49.8226
ACKR1	NA	0	2210	0
ACKR2	NA	11	2960	0.184936
ACKR3	NA	0	2100	0
ACKR4	NA	4	2592	0.0767971
ACLY	NA	5155	4369	58.7173
ACMSD	NA	5	1357	0.183362
ACO1	NA	1433	3620	19.6996
ACO2	NA	2113	2741	38.3628
ACOT1	NA	282	1603	8.75458
ACOT11	NA	118	3391	1.7317
ACOT12	NA	1	1989	0.0250199
ACOT13	NA	722	4393	8.17891
ACOT2	NA	592	2289	12.8705
ACOT4	NA	0	1632	0
ACOT6	NA	0	1004	0
ACOT7	NA	2849	2389	59.3466
ACOT8	NA	520	1171	22.0987
ACOT9	NA	1260	1727	36.3076
ACOX1	NA	821	7919	5.15932
ACOX2	NA	240	2309	5.17258
ACOX3	NA	428	2874	7.411
ACOXL	NA	5	2373	0.104856
ACP1	NA	2354	1882	62.2453
ACP2	NA	1372	2316	29.4805
ACP5	NA	80	1810	2.19954
ACP6	NA	529	1808	14.5605
ACPP	NA	7	3818	0.0912393
ACPT	NA	0	1347	0
ACR	NA	36	1370	1.30768
ACRBP	NA	1	1886	0.0263863
ACRC	NA	57	3178	0.892566
ACRV1	NA	4	1175	0.169411
ACSBG1	NA	10	2980	0.166995
ACSBG2	NA	5	2789	0.0892157
ACSF2	NA	731	2424	15.0074
ACSF3	NA	573	4296	6.63758
ACSL1	NA	531	4743	5.57136
ACSL3	NA	1646	4361	18.7829
ACSL4	NA	142	5335	1.32457
ACSL5	NA	368	3744	4.89138
ACSL6	NA	2	6915	0.0143932
ACSM1	NA	13	2051	0.315426
ACSM2A	NA	1	3336	0.0149174
ACSM2B	NA	1	2441	0.0203869
ACSM3	NA	59	2291	1.28158
ACSM4	NA	0	1743	0
ACSM5	NA	3	2419	0.061717
ACSM6	NA	0	1713	0
ACSS1	NA	1	4020	0.0123792
ACSS2	NA	733	3193	11.4242
ACSS3	NA	0	3033	0
ACTA1	NA	15	1492	0.500313
ACTA2	NA	2124	1851	57.1042
ACTA2-AS1	NA	914	2043	22.2637
ACTB	NA	150925	1812	4144.98
ACTBL2	NA	0	2794	0
ACTC1	NA	52	3693	0.700719
