"","G401_Empty_Day3_A","G401_Empty_Day3_B","G401_BAF47_Day3_A","G401_BAF47_Day3_B"
"G401_Empty_Day3_A",1,0.997593752986562,0.959175758824882,0.959710153027412
"G401_Empty_Day3_B",0.997593752986562,1,0.957670251893634,0.958421938488982
"G401_BAF47_Day3_A",0.959175758824882,0.957670251893634,1,0.993584769173991
"G401_BAF47_Day3_B",0.959710153027412,0.958421938488982,0.993584769173991,1
