"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_HEME_METABOLISM",0.00114009373628656,0.00228018747257312,0.45505986738723,0.425574357278949,1.58047728924935,169,"NUDT4;ENDOD1;P4HA2;AQP3;ATG4A;RNF19A;MGST3;IGSF3;MKRN1;DAAM1;OPTN;ABCG2;CTSB;FOXO3;MYL4;AGPAT4;LPIN2;ANK1;ACP5;GDE1;BCAM;MPP1;YPEL5;TNS1;PPP2R5B;CAST;SEC14L1;NFE2L1;MAP2K3;ADD1;KAT2B;PICALM;BNIP3L;C3;FBXO34;HAGH;TSPAN5;PC;SLC10A3;BLVRA;CTSE;NCOA4;ALAD;PDZK1IP1;GYPC;CDR2;RBM5;EPB41;UCP2;ARHGEF12;BSG;GCLC;CIR1;ALDH6A1;SLC22A4;MINPP1;SLC2A1;OSBP2;LAMP2;TFDP2;ALDH1L1;BMP2K;ERMAP;DCAF11;BPGM;FBXO7;PRDX2;BTG2;BTRC"
"HALLMARK_HYPOXIA",3.51810514976095e-06,1.35311736529267e-05,0.627256739718528,0.490629945989903,1.82713617189903,173,"EXT1;JUN;PPP1R3C;CSRP2;TIPARP;CA12;PLAC8;COL5A1;AKAP12;ANXA2;TGM2;MYH9;S100A4;SDC4;GPC3;EFNA1;P4HA2;VLDLR;PFKFB3;VEGFA;RRAGD;UGP2;FOXO3;CHST2;NEDD4L;STBD1;SLC6A6;HK1;PAM;SLC2A3;SDC2;PRDX5;KDELR3;P4HA1;AK4;SDC3;ADORA2B;SAP30;PGM2;AMPD3;BNIP3L;PFKP;NDST2;PRKCA;F3;IDS;MAP3K1;CDKN1C;CDKN1A;TGFBI;NFIL3;SRPX;PDK3;PGM1;TMEM45A;PDK1;KLF7;PGF;CHST3;TNFAIP3;GLRX;SLC37A4;SIAH2;NAGK;SCARB1;RORA;BGN;ENO3;BCAN;CCNG2;HSPA5;BTG1;ENO2;ANGPTL4"
"HALLMARK_IL2_STAT5_SIGNALING",0.000610812029814444,0.00145431435670106,0.477270815362862,0.436402176035022,1.6039515817491,159,"ADAM19;GABARAPL1;DHRS3;SLC39A8;MYO1E;CSF1;ITGA6;TGM2;CASP3;LRRC8C;FURIN;COL6A1;IFNGR1;IL4R;AHNAK;RRAGD;IGF1R;TNFRSF9;ALCAM;GLIPR2;MAP6;PTCH1;SLC2A3;HIPK2;CAPG;MAP3K8;SYT11;ITGAE;S100A1;TRAF1;CCND2;GALM;IGF2R;NCOA3;P4HA1;TNFRSF21;CKAP4;AGER;LTB;P2RX4;DENND5A;BCL2L1;MAPKAPK2;CDKN1C;NRP1;NFIL3;PTGER2;LRIG1;BMPR2;SMPDL3A;CD44;SYNGR2;MYO1C;NCS1;ST3GAL4;SNX9;CD81;PRNP"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0379706127819213,0.0499613326077911,0.321775918075361,0.448172035007053,1.42286376757344,59,"JUN;CSF1;IL13RA1;IFNGR1;IL4R;A2M;ITGB3;TNF;PDGFC;MAP3K8;TNFRSF21;LTB;IRF1;IL15RA;TNFRSF12A;LEPR;IL17RA;CD44"
"HALLMARK_INFLAMMATORY_RESPONSE",0.000295828011895821,0.000778494768146897,0.49849310876659,0.461868380880423,1.65171173234297,127,"SPHK1;CSF1;AXL;RIPK2;GPC3;DCBLD2;IL4R;ITGA5;TNFRSF9;CHST2;ITGB3;IRAK2;MMP14;CX3CL1;PVR;PSEN1;ADORA2B;FZD5;SEMA4D;LY6E;P2RX4;IRF1;BDKRB1;IL18;IL15RA;STAB1;F3;CDKN1A;BST2;PTGER2;GABBR1;IL1A;TAPBP;HBEGF;CCL2;IL15;HIF1A;SLC31A2;CD70;PTAFR;LYN;PTGER4;NFKBIA;SGMS2;OLR1;ATP2B1;HPN;HRH1;NFKB1;GCH1;TNFSF15;TNFSF9;IL2RB;IRF7"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",6.28147880808286e-05,0.00018474937670832,0.538434096309916,0.547277648809848,1.82734038859029,78,"NCOA7;PARP14;PARP9;CSF1;RIPK2;CD74;TDRD7;B2M;LGALS3BP;IL4R;HLA-C;IFI27;UBA7;PSME1;C1S;MOV10;SP110;PARP12;HERC6;LY6E;IFIT3;IRF1;IRF2;BST2;TRIM21;UBE2L6;GMPR;IL15;HELZ2;PLSCR1;DHX58;GBP2;CD47;IRF7;TRIM25"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",3.22114858362577e-05,0.000100660893238305,0.557332238758646,0.485811916251633,1.76654296200622,141,"SERPING1;PARP14;RIPK2;CD74;CASP3;TDRD7;B2M;LGALS3BP;IL4R;VAMP8;IFI27;OAS3;PSME1;ST3GAL5;HLA-B;C1S;MVP;CASP7;NLRC5;NCOA3;SP110;SPPL2A;ARID5B;PARP12;HERC6;C1R;APOL6;LY6E;RBCK1;IFIT3;IRF1;IL15RA;PFKP;IRF2;CDKN1A;PELI1;BST2;TRIM21;RNF213;TAPBP;UBE2L6;CCL2;IL15;HIF1A;PTPN6;HELZ2;HLA-DMA;SSPN;CASP4;UPP1;NFKBIA;STAT3;PLSCR1;DHX58;SAMHD1;TNFAIP3;VAMP5;NFKB1;CD274;GCH1;IL2RB;IRF7;TRIM25"
"HALLMARK_KRAS_SIGNALING_DN",0.0165229021710915,0.0236041459587021,0.352487857583619,0.394491910451664,1.40651953577779,122,"COL2A1;PTPRJ;SYNPO;TGM1;CLSTN3;C5;CHST2;GPRC5C;MFSD6;SLC30A3;PDE6B;TENM2;KRT15;PDK2;IGFBP2;TCF7L1;ITIH3;SPHK2;HTR1D;SLC38A3;EGF;SLC25A23;CAMK1D;FGFR3;SNN;ARHGDIG;SLC29A3;DLK2;ACTC1;NR6A1;SPRR3;TLX1;IDUA;GDNF;SHOX2;KCND1"
"HALLMARK_KRAS_SIGNALING_UP",0.0940721649484536,0.114722152376163,0.163180127180689,0.345394354232826,1.25494308291584,136,"GPNMB;CPE;SEMA3B;JUP;AKAP12;TNNT2;DCBLD2;PLEK2;NIN;PLAT;EPHB2;KIF5C;CTSS;TRAF1;SPARCL1;GPRC5B;CCND2;MTMR10;ENG;ACE;HDAC9;TRIB1;RELN;MAP3K1;GNG11;NRP1;LY96;HBEGF"
"HALLMARK_MITOTIC_SPINDLE",2.28514339721218e-05,7.61714465737392e-05,0.575610261071129,0.457440776677738,1.73114724023184,194,"FARP1;NEDD9;SYNPO;DST;ACTN4;MYO1E;SPTBN1;ARHGEF3;MYH9;BCL2L11;FGD6;SPTAN1;FLNA;SUN2;SHROOM2;PREX1;ARHGAP29;NIN;EPB41L2;RASAL2;AKAP13;ARHGAP10;FLNB;NOTCH2;NCK2;MYH10;EZR;BUB1;GSN;FGD4;PALLD;MID1;ABR;PDLIM5;ITSN1;KLC1;NUMA1;NET1;FSCN1;TSC1;CAPZB;SSH2;DOCK4;KIFAP3;BCR;CDC42;DLGAP5;SORBS2;TRIO;PCGF5;ABL1;CYTH2;NF1;OPHN1"
