"PC1","PC2","group","name","condition","timepoint","replicate","sizeFactor"
-25.2878901050289,0.292126718592494,"Empty","G401_Empty_Day3_A","Empty","Day3","A",1.09187635290394
-26.0754539889605,-0.211004262091188,"Empty","G401_Empty_Day3_B","Empty","Day3","B",1.05704549914662
26.1821090335371,3.9245701060748,"BAF47","G401_BAF47_Day3_A","BAF47","Day3","A",0.926339705833583
25.1812350604524,-4.00569256257611,"BAF47","G401_BAF47_Day3_B","BAF47","Day3","B",0.956247140841605
