"GeneSymbol","G401_Empty_Day3_A","G401_Empty_Day3_B","G401_BAF47_Day3_A","G401_BAF47_Day3_B"
"CRYBB2",16,22,14,12
"CRYBB2P1",257,252,261,308
"CRYBB3",5,6,6,2
"CRYBG3",222,238,115,123
"CRYGA",1,0,1,2
"CRYGB",3,0,1,0
"CRYGC",677,597,68,68
"CRYGD",0,0,0,0
"CRYGN",0,0,0,0
"CRYGS",29,32,19,34
"CRYL1",211,160,420,400
"CRYM",8,5,21,22
"CRYM-AS1",8,11,4,4
"CRYZ",2341,2120,1643,1150
"CRYZL1",448,445,348,375
"CS",4734,4590,3549,3786
"CSAD",186,283,237,173
"CSAG1",0,0,0,0
"CSAG3",0,0,1,0
"CSAG4",0,0,0,0
"CSDC2",479,493,1024,1229
"CSDE1",12563,12142,9809,10585
"CSE1L",4902,4785,2863,3079
"CSE1L-AS1",2,0,1,1
"CSF1",568,542,1710,1543
"CSF1R",57,46,45,39
"CSF2",0,0,0,0
"CSF2RA",100,107,100,137
"CSF2RB",0,0,0,1
"CSF3",24,17,2,0
"CSF3R",0,1,0,1
"CSGALNACT1",1,0,7,0
"CSGALNACT2",430,434,257,193
"CSH1",1,0,0,0
"CSH2",0,0,1,0
"CSHL1",0,0,0,0
"CSK",1613,1641,1174,1266
"CSMD1",2,7,3,0
"CSMD2",1,5,16,2
"CSMD2-AS1",0,0,0,0
"CSMD3",39,41,93,97
"CSN1S1",0,0,0,0
"CSN1S2AP",0,0,0,0
"CSN1S2BP",0,0,0,0
"CSN2",0,0,0,0
"CSN3",0,0,0,0
"CSNK1A1",5820,4971,3510,2891
"CSNK1A1L",156,145,102,106
"CSNK1A1P1",24,22,20,18
"CSNK1D",4481,4315,3847,4417
"CSNK1E",3775,3637,2401,2499
"CSNK1G1",955,1106,823,701
"CSNK1G2",2237,2158,1861,1681
"CSNK1G2-AS1",2,2,2,0
"CSNK1G3",730,775,650,478
"CSNK2A1",4374,4227,2622,2486
"CSNK2A2",1209,1017,812,843
"CSNK2A3",1674,1662,1004,917
"CSNK2B",4535,4215,3170,3141
"CSPG4",1530,1578,3425,2580
"CSPG4P1Y",0,0,0,0
"CSPG5",84,73,56,70
"CSPP1",452,448,416,458
"CSRNP1",895,820,938,867
"CSRNP2",1106,1074,969,961
"CSRNP3",0,1,0,0
"CSRP1",3026,2420,3590,4168
"CSRP2",169,147,1314,1669
"CSRP2BP",1159,1136,896,1157
"CSRP3",1,0,3,3
"CST1",0,0,96,12
"CST11",0,0,1,0
"CST13P",0,0,0,0
"CST2",0,0,17,5
"CST3",1947,1650,2120,1912
"CST4",0,0,33,4
"CST5",0,0,0,1
"CST6",0,0,0,4
"CST7",0,0,0,1
"CST8",0,0,0,0
"CST9",0,0,0,0
"CST9L",0,0,0,0
"CSTA",2,2,6,0
"CSTB",14850,12156,5520,6010
"CSTF1",1161,1161,833,936
"CSTF2",702,720,487,573
"CSTF2T",1437,1290,1347,1558
"CSTF3",2573,2535,1297,1461
"CSTF3-AS1",5,10,4,2
"CSTL1",0,0,0,0
"CT45A1",6,15,14,4
"CT45A10",4,10,8,5
"CT45A2",2,9,10,3
"CT45A3",6,15,14,4
"CT45A4",2,12,11,4
"CT45A5",2,9,10,3
"CT45A6",8,24,24,7
"CT45A7",14,39,38,12
"CT45A8",2,9,10,3
"CT45A9",2,9,10,3
"CT47A1",0,0,0,0
"CT47A10",0,0,0,0
"CT47A11",0,0,0,0
"CT47A12",0,0,0,0
"CT47A2",0,0,0,0
"CT47A3",0,0,0,0
"CT47A4",0,0,0,0
"CT47A5",0,0,0,0
"CT47A6",0,0,0,0
"CT47A7",0,0,0,0
"CT47A8",0,0,0,0
"CT47A9",0,0,0,0
"CT47B1",0,1,0,0
"CT55",1,0,2,0
"CT62",0,1,5,0
"CT83",0,0,0,0
"CTAG1A",0,1,0,0
"CTAG1B",0,1,0,0
"CTAG2",0,1,0,0
"CTAGE1",80,45,43,34
"CTAGE10P",18,10,7,14
"CTAGE11P",35,37,15,28
"CTAGE15",39,42,28,30
"CTAGE4",26,26,15,22
"CTAGE5",524,459,285,314
"CTAGE6",39,42,27,30
"CTAGE7P",59,42,43,20
"CTAGE8",34,35,26,24
"CTAGE9",30,37,17,27
"CTB-113P19.1",6,6,11,13
"CTB-12O2.1",3,0,1,3
"CTB-178M22.2",17,13,12,10
"CTB-7E3.1",0,0,0,0
"CTBP1",4221,4271,3565,3593
"CTBP1-AS",972,926,764,847
"CTBP1-AS2",516,486,323,370
"CTBP2",2589,2459,2595,2323
"CTBS",194,127,241,152
"CTC-338M12.4",321,329,246,221
"CTC-436P18.1",8,5,0,3
"CTC1",665,678,665,614
"CTCF",1653,1563,1061,1095
"CTCFL",5,12,2,1
"CTD-2151A2.1",1,0,1,0
"CTD-2194D22.4",2,0,0,0
"CTD-2201E9.1",0,0,0,0
"CTD-2201I18.1",0,4,4,3
"CTD-2270F17.1",1,0,0,0
"CTD-2297D10.2",0,0,0,0
"CTD-2350J17.1",0,0,0,0
"CTD-3080P12.3",0,0,0,0
"CTDNEP1",3576,3100,2508,2646
"CTDP1",1548,1499,904,921
"CTDSP1",1355,1269,1229,1449
"CTDSP2",2912,2705,2763,2848
"CTDSPL",801,766,1044,1153
"CTDSPL2",792,784,487,454
"CTF1",292,285,353,362
"CTGF",11575,10445,20140,15984
"CTGLF12P",294,419,397,416
"CTH",252,165,272,170
"CTHRC1",0,2,0,0
"CTIF",366,459,492,408
"CTLA4",0,0,0,0
"CTNNA1",5511,5039,7429,8355
"CTNNA2",26,35,41,64
"CTNNA3",1,5,2,0
"CTNNAL1",2369,1995,2480,2763
"CTNNB1",6032,5826,6703,6359
"CTNNBIP1",1439,1280,1335,1376
"CTNNBL1",1560,1476,957,1161
"CTNND1",3500,3332,3993,4264
"CTNND2",2,1,0,0
"CTNS",1514,1333,1475,1377
"CTPS1",3603,3323,1935,1805
"CTPS2",645,588,721,916
"CTR9",1948,1939,1425,1417
"CTRB1",0,2,0,2
"CTRB2",2,4,0,3
"CTRC",1,1,1,0
"CTRL",90,102,87,71
"CTSA",1526,1452,1404,1445
"CTSB",6275,5431,12196,9431
"CTSC",1,1,1,2
"CTSD",7258,6564,11396,10523
"CTSE",0,0,12,10
"CTSF",8003,7371,6240,7891
"CTSG",0,0,0,0
"CTSH",222,260,308,385
"CTSK",68,99,90,143
"CTSL",521,483,733,756
"CTSL3P",0,0,0,0
"CTSLP2",1,2,0,1
"CTSLP8",0,0,0,0
"CTSO",654,624,384,321
"CTSS",47,40,171,123
"CTSV",613,618,942,1251
"CTSW",0,3,3,1
"CTSZ",5,13,4,4
"CTTN",6757,6820,6274,6412
"CTTNBP2",0,0,0,0
"CTTNBP2NL",858,749,890,796
"CTU1",420,452,167,222
"CTU2",304,275,163,164
"CTXN1",2494,2276,1401,1307
"CTXN2",1,1,1,3
"CTXN3",0,0,2,0
"CUBN",14,23,25,19
"CUEDC1",1940,1973,1370,1505
"CUEDC2",2694,2332,1457,1518
"CUL1",2017,1885,1537,1777
"CUL2",2134,2215,1197,1177
"CUL3",3340,3012,2481,2809
"CUL4A",3289,3115,1888,2037
"CUL4B",1495,1462,1312,1180
"CUL5",1095,1087,741,622
"CUL7",1418,1414,1112,1407
"CUL9",165,172,164,152
"CUTA",3735,3099,3127,3757
"CUTC",430,456,219,250
"CUX1",1022,981,1578,1673
"CUX2",2,6,22,33
"CUZD1",19,28,25,55
"CWC15",2066,2034,1872,2163
"CWC22",1395,1391,757,1095
"CWC25",874,870,555,636
"CWC27",994,911,748,963
"CWF19L1",978,1017,674,817
"CWF19L2",641,668,468,669
"CWH43",0,0,0,0
"CX3CL1",3,1,62,64
"CX3CR1",3,2,1,0
"CXADR",1956,1938,1846,880
"CXADRP2",59,56,58,37
"CXADRP3",34,32,30,15
"CXCL1",0,0,0,0
"CXCL10",2,2,1,1
"CXCL11",1,3,0,0
"CXCL12",1,0,0,1
"CXCL13",1,0,1,0
"CXCL14",119,125,32,45
"CXCL16",109,77,132,171
"CXCL17",0,0,0,0
"CXCL2",0,0,0,0
"CXCL3",0,0,0,0
"CXCL5",11,7,5,25
"CXCL6",0,0,0,0
"CXCL8",0,0,0,0
"CXCL9",0,0,0,0
"CXCR1",1,0,1,2
"CXCR2",6,7,43,34
"CXCR2P1",1,0,2,0
"CXCR3",0,1,0,0
"CXCR4",3,1,1,1
"CXCR5",29,31,22,19
"CXCR6",3,6,1,1
"CXXC1",2025,2065,1295,1365
"CXXC1P1",0,0,0,0
"CXXC4",107,121,190,178
"CXXC5",1207,1152,1602,1630
"CXorf21",0,0,0,0
"CXorf23",159,147,316,325
"CXorf36",0,0,1,0
"CXorf38",444,380,311,364
"CXorf40A",532,508,372,395
"CXorf40B",1127,1038,755,786
"CXorf49",0,0,1,1
"CXorf49B",0,0,1,1
"CXorf51A",0,0,0,0
"CXorf51B",0,0,0,0
"CXorf56",715,662,574,814
"CXorf57",0,0,0,0
"CXorf58",1,4,4,2
"CXorf65",0,0,0,1
"CXorf66",0,0,0,0
"CXorf67",12,9,9,22
"CYB561",2,8,11,3
"CYB561A3",410,436,340,332
"CYB561D1",211,222,281,270
"CYB561D2",344,340,325,266
"CYB5A",0,1,0,0
"CYB5B",5001,4667,3883,3258
"CYB5D1",1166,1193,671,816
"CYB5D2",322,303,343,392
"CYB5R1",527,479,770,703
"CYB5R2",295,401,220,187
"CYB5R3",4174,3854,4785,4972
"CYB5R4",237,180,173,126
"CYB5RL",62,60,58,77
"CYBA",3410,3081,3194,2812
"CYBB",0,0,0,0
"CYBRD1",588,558,1115,970
"CYC1",3237,2884,1917,1949
"CYCS",9632,8971,4600,3446
"CYCSP52",0,0,0,0
"CYFIP1",2248,2101,2060,2029
"CYFIP2",2923,2817,2142,2233
"CYGB",111,119,146,92
"CYHR1",927,977,1017,962
"CYLC1",0,0,0,0
"CYLC2",0,0,0,0
"CYLD",321,264,408,444
"CYMP",0,0,1,1
"CYP11A1",12,10,32,16
"CYP11B1",0,0,0,0
"CYP11B2",0,0,0,0
"CYP17A1",2,0,1,1
"CYP19A1",0,0,0,1
"CYP1A1",13,26,6,8
"CYP1A2",1,0,0,1
"CYP1B1",4,1,3,3
"CYP1B1-AS1",0,0,0,0
"CYP20A1",303,263,267,310
"CYP21A1P",1055,1028,453,510
"CYP21A2",775,777,429,474
"CYP24A1",275,233,460,260
"CYP26A1",16,17,34,48
"CYP26B1",79,85,48,45
"CYP26C1",3,3,1,0
"CYP27A1",9,6,10,18
"CYP27B1",94,133,70,85
"CYP27C1",111,101,185,264
"CYP2A13",0,0,1,0
"CYP2A6",0,0,1,0
"CYP2A7",0,0,0,0
"CYP2B6",0,0,0,0
"CYP2B7P",0,0,2,0
"CYP2C18",1,5,5,7
"CYP2C19",1,0,0,0
"CYP2C8",0,0,0,0
"CYP2C9",0,1,2,0
"CYP2D6",98,143,106,95
"CYP2D7",88,103,87,85
"CYP2E1",34,42,29,36
"CYP2F1",0,0,3,0
"CYP2G1P",0,0,1,0
"CYP2J2",1,0,0,0
"CYP2R1",274,251,194,240
"CYP2S1",9,0,21,12
"CYP2U1",86,89,181,190
"CYP2W1",6,5,2,4
"CYP39A1",0,0,1,0
"CYP3A4",0,0,0,1
"CYP3A43",0,1,0,0
"CYP3A5",3,5,10,6
"CYP3A7",1,5,13,5
"CYP3A7-CYP3A51P",2,4,9,2
"CYP46A1",22,25,43,54
"CYP4A11",0,0,0,0
"CYP4A22",0,0,0,0
"CYP4B1",0,0,2,1
"CYP4F11",24,25,13,7
"CYP4F12",95,129,98,101
"CYP4F2",75,80,58,49
"CYP4F22",88,61,22,10
"CYP4F24P",13,11,4,3
"CYP4F29P",76,100,82,96
"CYP4F3",29,31,14,16
"CYP4F30P",1,3,1,0
"CYP4F35P",22,31,35,40
"CYP4F62P",1,3,1,1
"CYP4F8",1,2,6,2
"CYP4V2",38,33,63,58
"CYP4X1",0,1,5,1
"CYP4Z1",0,1,4,0
"CYP4Z2P",0,0,5,0
"CYP51A1",2265,1993,1639,1638
"CYP51A1-AS1",7,7,8,6
"CYP7A1",2,0,0,0
"CYP7B1",4,2,2,0
"CYP8B1",1,0,0,0
"CYR61",4727,4499,9881,10410
"CYS1",130,119,214,277
"CYSLTR1",0,0,0,0
"CYSLTR2",0,0,0,1
"CYSRT1",890,782,480,468
"CYSTM1",1541,1354,1973,1906
"CYTH1",741,770,654,660
"CYTH2",1235,1353,1373,1652
"CYTH3",458,499,616,594
"CYTH4",2,0,2,3
"CYTIP",0,0,0,0
"CYTL1",7,7,5,2
"CYYR1",0,0,0,0
"D21S2088E",0,0,0,0
"D2HGDH",578,648,498,539
"DAAM1",41,37,198,184
"DAAM2",1,1,26,20
"DAB1",0,0,0,1
"DAB1-AS1",0,0,0,0
"DAB2",1,4,12,11
"DAB2IP",712,704,1435,1591
"DACH1",1,2,1,0
"DACH2",0,0,0,0
"DACT1",1,1,15,10
"DACT2",0,0,0,0
"DACT3",323,293,309,329
"DACT3-AS1",14,9,9,4
"DAD1",4392,3691,3625,3377
"DAG1",4015,3853,6661,7577
"DAGLA",153,147,237,206
"DAGLB",565,597,642,669
"DALRD3",1532,1620,1681,1973
"DANCR",2372,2209,1984,2082
"DAND5",0,4,3,2
"DAO",48,35,15,14
"DAOA",0,0,0,0
"DAOA-AS1",0,0,0,0
"DAP",1275,1122,2283,2718
"DAP3",2879,2707,1773,1721
"DAPK1",3,3,46,9
"DAPK2",415,395,502,646
"DAPK3",3380,3002,3812,4000
"DAPL1",0,0,0,0
"DAPP1",2,2,2,0
"DARS",2536,2460,1717,1691
"DARS-AS1",50,34,40,39
"DARS2",727,660,668,705
"DAW1",1,0,0,0
"DAXX",2492,2349,1714,2019
"DAZ1",0,1,0,0
"DAZ2",0,2,0,0
"DAZ3",0,2,0,0
"DAZ4",0,2,0,0
"DAZAP1",4007,3706,2559,2769
"DAZAP2",1886,1776,2018,2327
"DAZL",1,0,0,0
"DBET",12,15,3,1
"DBF4",1311,1344,753,811
"DBF4B",889,999,698,717
"DBH",14,9,6,4
"DBH-AS1",48,56,21,25
"DBI",2917,2765,2519,3562
"DBIL5P",20,17,11,13
"DBIL5P2",0,3,1,1
"DBN1",10587,10224,8616,9493
"DBNDD1",1008,892,1344,1370
"DBNDD2",160,98,128,135
"DBNL",1960,1888,1844,1718
"DBP",722,703,244,325
"DBR1",790,787,446,439
"DBT",410,364,404,435
"DBX1",0,0,0,0
"DBX2",0,0,0,0
"DCAF10",910,830,768,683
"DCAF11",1048,999,952,1262
"DCAF12",2210,2039,1775,1912
"DCAF12L1",0,0,0,0
"DCAF12L2",0,0,0,0
"DCAF13",1919,1870,951,1174
"DCAF13P3",40,42,29,19
"DCAF15",1438,1514,1048,1134
"DCAF16",975,1082,656,769
"DCAF17",725,728,445,367
"DCAF4",842,807,429,472
"DCAF4L1",25,34,27,19
"DCAF4L2",0,0,0,0
"DCAF5",1436,1476,1428,1639
"DCAF6",599,595,988,922
"DCAF7",2683,2524,2121,2320
"DCAF8",2159,2256,2314,2707
"DCAF8L1",4,3,2,1
"DCAF8L2",0,0,0,3
"DCAKD",1338,1329,983,1105
"DCANP1",6,5,2,3
"DCBLD1",23,24,22,12
"DCBLD2",28,49,320,244
"DCC",1,3,1,0
"DCD",0,0,0,0
"DCDC1",7,4,7,1
"DCDC2",1,5,9,8
"DCDC2B",48,67,57,37
"DCDC2C",0,0,0,0
"DCDC5",1,1,4,2
"DCHS1",25,18,35,39
"DCHS2",0,0,2,1
"DCK",376,376,220,135
"DCLK1",27,19,8,6
"DCLK2",6,2,13,17
"DCLK3",0,1,0,0
"DCLRE1A",306,295,215,260
"DCLRE1B",514,488,342,363
"DCLRE1C",392,375,288,291
"DCN",0,2,1,0
"DCP1A",1060,1132,744,763
"DCP1B",712,701,669,821
"DCP2",1659,1887,1222,1051
"DCPS",737,648,497,519
"DCST1",27,24,15,20
"DCST2",15,13,14,22
"DCSTAMP",263,265,78,68
"DCT",1,6,1,1
"DCTD",2501,2088,1880,1998
"DCTN1",6145,5798,5856,6231
"DCTN1-AS1",1,0,1,1
"DCTN2",3033,2741,3214,3994
"DCTN3",778,633,855,928
"DCTN4",1691,1627,1401,1453
"DCTN5",2472,2236,1696,1911
"DCTN6",422,356,349,344
"DCTPP1",2205,1922,816,839
"DCUN1D1",897,854,801,575
"DCUN1D2",246,303,257,314
"DCUN1D3",249,224,195,167
"DCUN1D4",848,902,695,480
"DCUN1D5",2373,2072,1549,1579
"DCX",0,2,0,0
"DCXR",1227,1093,704,777
"DDA1",1221,1049,851,942
"DDAH1",1141,1088,2165,1745
"DDAH2",1978,1713,2597,4099
"DDB1",9882,8796,8055,8705
"DDB2",1422,1471,1121,1357
"DDC",0,0,3,1
"DDC-AS1",0,0,0,0
"DDHD1",1857,1973,1442,1318
"DDHD2",1057,1033,1164,1156
"DDI1",0,0,0,0
"DDI2",282,284,117,94
"DDIAS",542,641,334,375
"DDIT3",893,665,643,499
"DDIT4",9370,7150,5203,4613
"DDIT4L",0,0,0,0
"DDN",79,90,18,30
"DDO",1,1,11,9
"DDOST",8080,6885,7713,7724
"DDR1",5273,4866,4993,4608
"DDR2",296,236,368,209
"DDRGK1",1447,1253,1081,1096
"DDT",0,0,0,0
"DDTL",0,0,0,0
"DDX1",3028,2731,1995,2452
"DDX10",1632,1668,773,1048
"DDX11",1449,1627,971,923
"DDX11-AS1",37,25,15,16
"DDX11L1",89,91,72,58
"DDX11L10",79,95,84,74
"DDX11L16",96,107,74,67
"DDX11L2",219,252,197,148
"DDX11L5",99,104,76,54
"DDX11L9",104,104,101,82
"DDX12P",1447,1850,990,915
"DDX17",8224,9490,8677,9635
"DDX18",2862,2873,1630,1593
"DDX19A",2344,2278,1685,1832
"DDX19B",1391,1293,1175,1253
"DDX20",1428,1299,770,944
"DDX21",8416,8295,2970,3088
"DDX23",3866,3774,2736,3258
"DDX24",6118,5766,3819,4320
"DDX25",2,0,0,0
"DDX26B",183,215,174,157
"DDX26B-AS1",5,2,0,0
"DDX27",2483,2499,1278,1598
"DDX28",1244,1107,613,727
"DDX31",1125,1134,428,630
"DDX39A",4285,4297,2115,2425
"DDX39B",10737,10300,8192,9679
"DDX3X",8531,8256,5948,4771
"DDX3Y",2099,2179,1427,930
"DDX4",3,1,1,2
"DDX41",3417,3279,2269,2716
"DDX42",3983,4094,3046,3777
"DDX43",8,12,0,0
"DDX46",2118,2332,1415,1353
"DDX47",2786,2535,2265,2731
"DDX49",1584,1505,778,731
"DDX5",16851,16529,13842,17253
"DDX50",1329,1188,913,1138
"DDX51",1185,1294,655,688
"DDX52",1807,1764,1347,1605
"DDX53",0,0,0,0
"DDX54",4038,3793,2634,3048
"DDX55",1074,1168,563,630
"DDX56",5641,5575,2714,2999
"DDX58",324,302,298,286
"DDX59",264,272,221,237
"DDX6",3179,3081,2799,3191
"DDX60",2,3,14,5
"DDX60L",19,29,21,9
"DEAF1",1711,1584,1449,1689
"DEAR",11,16,6,8
"DEC1",0,0,0,0
"DECR1",426,402,538,681
"DECR2",318,350,239,250
"DEDD",1141,1078,899,952
"DEDD2",1472,1408,867,863
"DEF6",156,153,122,129
"DEF8",1749,1873,1708,1644
"DEFA1",0,0,0,0
"DEFA10P",0,0,0,0
"DEFA11P",0,0,0,0
"DEFA1B",0,0,0,0
"DEFA3",0,0,0,0
"DEFA4",0,0,0,0
"DEFA5",0,0,0,0
"DEFA6",0,0,0,0
"DEFA8P",0,0,0,0
"DEFA9P",0,0,0,0
"DEFB1",3,5,2,0
"DEFB103A",0,0,0,0
"DEFB103B",0,0,0,0
"DEFB104A",0,0,0,0
"DEFB104B",0,0,0,0
"DEFB105A",0,0,0,0
"DEFB105B",0,0,0,0
"DEFB106A",0,0,0,0
"DEFB106B",0,0,0,0
"DEFB107A",0,0,0,0
"DEFB107B",0,0,0,0
"DEFB108B",0,0,0,0
"DEFB109P1",3,3,2,0
"DEFB109P1B",3,1,1,0
"DEFB110",0,0,0,0
"DEFB112",0,0,0,0
"DEFB113",0,0,0,0
"DEFB114",0,0,0,0
"DEFB115",0,0,0,0
"DEFB116",0,0,0,0
"DEFB118",0,0,0,0
"DEFB119",0,0,0,0
"DEFB121",0,0,0,0
"DEFB122",1,0,0,0
"DEFB123",0,0,0,0
"DEFB124",0,0,0,0
"DEFB125",0,0,0,0
"DEFB126",0,0,1,0
"DEFB127",0,0,0,0
"DEFB128",0,0,0,0
"DEFB129",0,0,0,0
"DEFB130",0,0,0,0
"DEFB131",0,0,0,0
"DEFB132",0,0,0,0
"DEFB133",0,0,0,0
"DEFB134",0,0,0,0
"DEFB135",0,0,0,0
"DEFB136",0,0,0,0
"DEFB4A",2,0,0,0
"DEFB4B",2,0,0,0
"DEFT1P",0,0,0,0
"DEFT1P2",0,0,0,0
"DEGS1",6523,5843,1973,2125
"DEGS2",6,13,35,36
"DEK",4661,4592,3725,2919
"DENND1A",1591,1503,1327,1280
"DENND1B",5,2,3,0
"DENND1C",3,3,11,3
"DENND2A",120,106,670,864
"DENND2C",42,62,65,91
"DENND2D",9,10,29,20
"DENND3",269,262,421,315
"DENND4A",292,273,214,169
"DENND4B",1401,1442,1379,1318
"DENND4C",425,376,450,283
"DENND5A",2191,2103,2617,2806
"DENND5B",494,555,731,615
"DENND5B-AS1",114,111,142,145
"DENND6A",425,471,349,360
"DENND6B",165,148,307,262
"DENR",3485,3300,1994,1998
"DEPDC1",858,870,802,794
"DEPDC1-AS1",10,5,3,12
"DEPDC1B",2699,2566,1851,1953
"DEPDC4",11,13,14,18
"DEPDC5",330,307,184,193
"DEPDC7",55,58,118,116
"DEPTOR",15,5,7,11
"DERA",324,281,365,419
"DERL1",1433,1262,1155,1078
"DERL2",1067,1061,827,961
"DERL3",0,0,0,0
"DES",12,7,88,33
"DESI1",2147,1950,1273,1353
"DESI2",3104,2818,2126,1626
"DET1",92,100,86,88
"DEXI",793,741,798,924
"DFFA",3531,3138,1663,1949
"DFFB",218,229,140,188
"DFNA5",223,204,400,393
"DFNB31",1982,2395,1139,1305
"DFNB59",51,67,80,96
"DGAT1",860,877,658,618
"DGAT2",927,825,733,883
"DGAT2L6",0,0,0,0
"DGCR10",0,1,1,1
"DGCR11",56,45,83,104
"DGCR14",957,977,660,723
"DGCR2",2031,1896,3632,4162
"DGCR5",225,228,153,187
"DGCR6",425,383,399,417
"DGCR6L",1094,947,1015,977
"DGCR8",1240,1483,976,1166
"DGCR9",15,12,23,24
"DGKA",210,234,611,545
"DGKB",2,3,4,3
"DGKD",1463,1525,2374,2411
"DGKE",209,264,231,190
"DGKG",0,0,3,2
"DGKH",239,231,312,235
"DGKI",2,0,4,3
"DGKK",0,0,21,18
"DGKQ",818,922,855,813
"DGKZ",687,685,873,914
"DGUOK",1446,1190,1149,1400
"DGUOK-AS1",7,12,21,23
"DHCR24",4489,4400,5752,5949
"DHCR7",1663,1577,1017,1247
"DHDDS",1280,1266,893,899
"DHDH",76,71,20,30
"DHFR",2126,2180,1818,2166
"DHFRL1",46,58,16,37
"DHH",1,3,5,4
"DHODH",510,486,169,239
"DHPS",933,814,569,724
"DHRS1",284,270,641,628
"DHRS11",423,432,281,324
"DHRS12",208,240,214,305
"DHRS13",456,392,325,359
"DHRS2",30,40,81,116
"DHRS3",135,128,751,832
"DHRS4",755,722,696,785
"DHRS4-AS1",617,568,427,484
"DHRS4L1",297,292,237,311
"DHRS4L2",875,845,767,908
"DHRS7",761,621,693,927
"DHRS7B",549,494,568,598
"DHRS7C",0,0,1,0
"DHRS9",0,1,0,0
"DHRSX",583,523,615,654
"DHTKD1",1189,1092,854,914
"DHX15",5270,4991,3192,3629
"DHX16",3444,3228,2013,2234
"DHX29",1384,1379,825,798
"DHX30",3235,3252,1659,1794
"DHX32",1746,1836,1594,1782
"DHX33",1770,1864,874,903
"DHX34",1320,1403,609,647
"DHX35",491,486,236,241
"DHX36",3143,2916,1385,1333
"DHX37",1965,1899,805,885
"DHX38",3311,3274,1523,1603
"DHX40",1672,1577,1296,1439
"DHX57",1366,1287,1116,1226
"DHX58",40,26,67,74
"DHX8",1367,1428,1144,1288
"DHX9",7229,7010,4163,5089
"DIABLO",2044,1744,1364,1565
"DIAPH1",4231,4096,4315,4797
"DIAPH2",96,116,141,175
"DIAPH2-AS1",0,0,0,1
"DIAPH3",757,757,1136,1281
"DIAPH3-AS1",7,9,18,10
"DIAPH3-AS2",0,0,0,0
"DICER1",1785,1805,1445,1009
"DICER1-AS1",38,37,29,24
"DIDO1",2422,2805,2096,2193
"DIEXF",1643,1552,524,684
"DIMT1",1689,1442,630,629
"DIO1",2,1,4,2
"DIO2",4,11,17,29
"DIO2-AS1",0,0,0,0
"DIO3",0,0,1,1
"DIO3OS",0,0,0,0
"DIP2A",793,886,984,918
"DIP2A-IT1",2,4,1,1
"DIP2B",1133,1095,1260,1179
"DIP2C",548,509,584,514
"DIRAS1",1621,1457,574,678
"DIRAS2",0,0,0,0
"DIRAS3",5,5,3,1
"DIRC1",0,0,0,0
"DIRC2",293,268,281,267
"DIRC3",2,0,2,2
"DIS3",2817,2872,1649,1414
"DIS3L",469,501,350,450
"DIS3L2",454,427,433,400
"DISC1",124,137,168,172
"DISC1-IT1",0,0,1,0
"DISC1FP1",0,0,0,0
"DISC2",6,2,1,6
"DISP1",99,116,164,193
"DISP2",194,180,78,80
"DIXDC1",1808,1717,938,715
"DKC1",5008,4623,2014,2465
"DKFZP434A062",12,17,9,9
"DKFZP434H168",0,0,0,0
"DKFZP434I0714",61,61,42,27
"DKFZP434K028",0,0,0,0
"DKFZP434L187",0,0,0,0
"DKFZP586I1420",34,33,38,43
"DKFZp434J0226",4,4,16,10
"DKFZp434L192",0,0,0,0
"DKFZp451B082",0,0,0,0
"DKFZp686K1684",0,0,2,3
"DKFZp779M0652",3,0,2,0
"DKK1",8077,7592,8367,7685
"DKK2",0,1,5,3
"DKK3",354,279,1333,1612
"DKK4",0,0,0,0
"DKKL1",20,19,5,6
"DLAT",1561,1513,929,698
"DLC1",0,0,10,2
"DLD",2329,2191,2321,1778
"DLEC1",34,49,38,40
"DLEU1",382,392,233,196
"DLEU1-AS1",0,0,0,0
"DLEU2",105,114,96,115
"DLEU2L",35,61,43,37
"DLEU7",0,0,3,2
"DLEU7-AS1",0,0,0,1
"DLG1",1197,1124,1015,923
"DLG1-AS1",9,3,11,14
"DLG2",224,226,482,529
"DLG3",472,468,744,735
"DLG3-AS1",0,2,7,6
"DLG4",1216,1236,704,678
"DLG5",6671,6597,3829,3467
"DLG5-AS1",125,95,81,91
"DLGAP1",539,564,358,418
"DLGAP1-AS1",249,232,110,103
"DLGAP1-AS2",70,70,92,123
"DLGAP1-AS3",183,215,5,19
"DLGAP1-AS4",28,16,6,10
"DLGAP1-AS5",2,5,1,0
"DLGAP2",9,8,3,2
"DLGAP2-AS1",1,2,1,0
"DLGAP3",256,231,269,236
"DLGAP4",1302,1261,1580,1723
"DLGAP4-AS1",16,19,9,14
"DLGAP5",1363,1311,1422,1839
"DLK1",119,114,155,212
"DLK2",86,70,119,133
"DLL1",18,25,34,26
"DLL3",402,357,129,106
"DLL4",6,8,25,17
"DLST",2807,2573,2695,3071
"DLSTP1",245,239,223,204
"DLX1",237,227,111,105
"DLX2",379,337,341,256
"DLX2-AS1",6,4,4,2
"DLX3",805,647,835,1076
"DLX4",499,448,731,941
"DLX5",35,44,28,20
"DLX6",31,32,18,21
"DLX6-AS1",4,1,6,6
"DMAP1",471,499,636,688
"DMBT1",2,1,0,0
"DMBT1P1",0,0,0,0
"DMBX1",23,30,56,47
"DMC1",14,15,8,3
"DMD",8,3,2,0
"DMGDH",4,5,6,2
"DMKN",1843,1579,1818,2258
"DMP1",13,13,14,17
"DMPK",1047,1145,1403,1547
