"GeneSymbol","G401_Empty_Day3_A","G401_Empty_Day3_B","G401_BAF47_Day3_A","G401_BAF47_Day3_B"
"ACSBG1",23,29,10,8
"ACSBG2",6,8,5,12
"ACSF2",358,329,731,838
"ACSF3",785,747,573,610
"ACSL1",398,387,531,520
"ACSL3",1335,1303,1646,1796
"ACSL4",84,82,142,105
"ACSL5",69,51,368,249
"ACSL6",0,1,2,1
"ACSM1",2,1,13,14
"ACSM2A",0,0,1,2
"ACSM2B",0,0,1,1
"ACSM3",66,77,59,48
"ACSM4",0,0,0,0
"ACSM5",0,0,3,2
"ACSM6",0,0,0,1
"ACSS1",3,2,1,0
"ACSS2",907,863,733,757
"ACSS3",0,1,0,0
"ACTA1",9,25,15,6
"ACTA2",3162,2634,2124,2435
"ACTA2-AS1",1330,1112,914,1032
"ACTB",114008,103427,150925,151223
"ACTBL2",1,0,0,0
"ACTC1",34,36,52,87
"ACTG1",107159,97010,127503,128726
"ACTG1P17",21,27,9,23
"ACTG1P20",359,320,447,384
"ACTG1P4",19,20,29,22
"ACTG2",14,12,4,7
"ACTL10",8,7,3,8
"ACTL6A",1012,849,618,797
"ACTL6B",8,6,0,0
"ACTL7A",0,0,0,0
"ACTL7B",0,4,0,0
"ACTL8",30,27,4,6
"ACTL9",0,0,0,0
"ACTN1",9030,8365,16704,15399
"ACTN1-AS1",0,3,1,0
"ACTN2",69,98,147,127
"ACTN3",536,664,520,785
"ACTN4",6065,5926,13847,14028
"ACTR10",746,715,966,926
"ACTR1A",4029,3823,4048,4435
"ACTR1B",1318,1292,1712,1641
"ACTR2",7106,6680,5841,4316
"ACTR3",5121,4706,5080,4466
"ACTR3B",879,856,430,533
"ACTR3BP2",4,3,0,0
"ACTR3BP5",3,8,3,7
"ACTR3C",368,321,263,360
"ACTR5",338,355,256,284
"ACTR6",435,362,244,241
"ACTR8",850,813,824,929
"ACTRT1",0,0,0,0
"ACTRT2",0,0,0,0
"ACTRT3",104,90,83,80
"ACVR1",297,277,382,441
"ACVR1B",543,571,586,563
"ACVR1C",1,3,1,0
"ACVR2A",80,104,92,107
"ACVR2B",776,743,443,434
"ACVR2B-AS1",25,30,18,35
"ACVRL1",32,18,60,18
"ACY1",402,315,257,229
"ACY3",0,0,0,0
"ACYP1",233,238,157,213
"ACYP2",153,128,120,131
"ADA",525,396,349,375
"ADAD1",0,0,0,0
"ADAD2",1,0,0,2
"ADAL",2,1,0,0
"ADAM10",1197,1217,2338,1508
"ADAM11",701,724,309,454
"ADAM12",2,1,8,8
"ADAM15",904,835,1513,1547
"ADAM17",753,763,678,555
"ADAM18",0,0,0,0
"ADAM19",12,11,768,732
"ADAM1A",80,91,74,93
"ADAM2",0,0,0,0
"ADAM20",0,1,1,1
"ADAM20P1",4,11,8,7
"ADAM21",3,2,11,18
"ADAM21P1",4,0,1,5
"ADAM22",203,234,243,255
"ADAM23",293,319,461,421
"ADAM28",3,1,1,1
"ADAM29",0,0,1,0
"ADAM30",0,0,0,0
"ADAM32",3,3,5,15
"ADAM33",2,2,3,3
"ADAM3A",0,0,0,0
"ADAM5",0,0,0,0
"ADAM6",0,0,0,0
"ADAM7",1,0,0,0
"ADAM8",115,145,104,132
"ADAM9",1986,1891,2709,1292
"ADAMDEC1",0,0,1,0
"ADAMTS1",2467,2511,2088,2604
"ADAMTS10",192,215,194,216
"ADAMTS12",1,0,3,6
"ADAMTS13",184,215,319,265
"ADAMTS14",7,12,110,88
"ADAMTS15",1,0,1,2
"ADAMTS16",0,0,0,0
"ADAMTS17",7,12,11,9
"ADAMTS18",1,1,3,1
"ADAMTS19",0,0,2,1
"ADAMTS19-AS1",0,0,0,0
"ADAMTS2",7,3,6,5
"ADAMTS20",1,0,0,0
"ADAMTS3",349,329,128,79
"ADAMTS4",13,14,11,1
"ADAMTS5",0,0,19,10
"ADAMTS6",57,60,180,129
"ADAMTS7",833,871,655,580
"ADAMTS7P1",86,94,92,74
"ADAMTS8",6,5,4,5
"ADAMTS9",0,2,1,2
"ADAMTS9-AS1",0,0,0,0
"ADAMTS9-AS2",0,0,0,0
"ADAMTSL1",1,0,1,0
"ADAMTSL2",1,1,0,0
"ADAMTSL3",26,32,30,22
"ADAMTSL4",1689,1585,3530,3575
"ADAMTSL4-AS1",10,20,32,35
"ADAMTSL5",240,265,533,648
"ADAP1",156,179,140,177
"ADAP2",76,65,57,73
"ADAR",6669,6242,5008,5177
"ADARB1",2630,3114,2010,2456
"ADARB2",0,0,1,0
"ADARB2-AS1",0,0,0,0
"ADAT1",168,197,123,100
"ADAT2",604,801,385,349
"ADAT3",483,450,323,273
"ADCK1",334,390,326,360
"ADCK2",489,373,446,525
"ADCK3",1419,1367,484,527
"ADCK4",517,471,360,472
"ADCK5",141,151,193,191
"ADCY1",60,47,19,16
"ADCY10",5,1,12,5
"ADCY10P1",36,38,23,34
"ADCY2",0,0,0,0
"ADCY3",1614,1678,1131,1221
"ADCY4",0,0,19,13
"ADCY5",21,21,25,26
"ADCY6",984,947,1301,1298
"ADCY7",128,145,239,235
"ADCY8",3,1,2,4
"ADCY9",379,391,385,367
"ADCYAP1",0,1,1,3
"ADCYAP1R1",3,2,1,0
"ADD1",3614,3345,4199,4636
"ADD2",142,119,73,66
"ADD3",708,743,1572,1271
"ADD3-AS1",11,9,23,22
"ADGB",0,0,1,0
"ADGRA1",1,1,0,4
"ADGRA1-AS1",0,0,0,0
"ADGRA2",2057,2164,1381,1781
"ADGRA3",1399,1390,766,824
"ADGRB1",263,330,89,83
"ADGRB2",1683,1665,1822,1705
"ADGRB3",0,0,1,0
"ADGRD1",10,5,129,156
"ADGRE1",3,3,3,3
"ADGRE2",89,67,91,96
"ADGRE3",2,0,1,1
"ADGRE4P",3,1,37,18
"ADGRE5",1012,918,1425,1306
"ADGRF1",0,0,0,0
"ADGRF2",0,0,0,2
"ADGRF3",32,33,38,33
"ADGRF4",0,0,5,4
"ADGRF5",0,1,0,0
"ADGRG1",155,116,291,255
"ADGRG2",4,2,10,8
"ADGRG3",0,0,4,0
"ADGRG4",0,0,0,1
"ADGRG5",3,3,5,2
"ADGRG6",1217,1116,1118,861
"ADGRG7",2,2,11,3
"ADGRL1",4442,4679,3128,3622
"ADGRL2",3,2,3,3
"ADGRL3",0,0,2,2
"ADGRL3-AS1",0,0,0,0
"ADGRL4",2,0,0,0
"ADGRV1",3,6,5,1
"ADH1A",1,0,1,0
"ADH1B",1,0,0,0
"ADH1C",0,0,0,0
"ADH4",0,1,0,0
"ADH5",4952,4530,3805,4519
"ADH6",2,2,5,6
"ADH7",0,0,0,0
"ADHFE1",93,116,98,117
"ADI1",3581,3303,1798,1992
"ADIG",0,0,0,1
"ADIPOQ",2,0,1,0
"ADIPOQ-AS1",2,0,0,0
"ADIPOR1",2487,2251,1575,1727
"ADIPOR2",2183,2204,1969,2289
"ADIRF",43,35,32,25
"ADK",825,780,827,916
"ADM",3085,3090,1906,1895
"ADM2",8,2,4,0
"ADM5",110,150,60,76
"ADNP",2441,2539,2211,2446
"ADNP-AS1",24,21,16,15
"ADNP2",1536,1511,1218,1140
"ADO",1297,1162,691,649
"ADORA1",70,79,291,292
"ADORA2A",25,33,43,35
"ADORA2A-AS1",3,2,11,11
"ADORA2B",291,252,466,419
"ADORA3",0,2,0,0
"ADPGK",1533,1405,1265,1377
"ADPGK-AS1",30,38,25,16
"ADPRH",0,0,0,0
"ADPRHL1",26,29,39,35
"ADPRHL2",890,903,964,900
"ADPRM",159,147,114,137
"ADRA1A",0,0,0,0
"ADRA1B",478,419,798,702
